                                                                                
                                                                                
Sample,aX,aY,az,Temp,gX,gY,gz                                                   
109,1268,-9956,11820,-1824,-349,-120,-38                                        
110,1204,-9996,11644,-1808,-386,-98,-38                                         
111,1172,-10032,11748,-1856,-343,-180,-38                                       
112,1112,-9952,11796,-1840,-421,-164,-56                                        
113,1232,-9972,11852,-1840,-520,-174,-70                                        
114,1164,-10036,11724,-1840,-452,-180,-65                                       
115,1188,-9936,11776,-1872,-391,-134,-51                                        
116,1168,-9980,11876,-1856,-489,-132,-55                                        
117,1072,-9892,11880,-1824,-503,-158,-95                                        
118,1264,-9940,11888,-1856,-503,-142,-102                                       
119,1088,-9888,11788,-1840,-527,-198,-129                                       
120,1212,-10060,11748,-1840,-573,-190,-120                                      
121,1256,-9908,11816,-1856,-534,-183,-96                                        
122,1200,-10016,11768,-1888,-527,-120,-119                                      
123,1164,-10000,11944,-1856,-467,-136,-60                                       
124,1160,-9984,11884,-1856,-424,-121,-41                                        
125,1088,-10004,11800,-1824,-475,-180,-77                                       
126,1128,-9948,11716,-1808,-494,-153,-69                                        
127,1200,-9928,11884,-1840,-582,-137,-109                                       
128,1140,-10000,11904,-1808,-412,-221,-53                                       
129,1184,-9888,11732,-1824,-672,-201,-132                                       
130,1172,-9968,11888,-1840,-497,-196,-72                                        
131,1196,-9884,11816,-1808,-520,-140,-73                                        
132,1096,-9948,11808,-1840,-429,-192,-93                                        
133,1140,-10020,11836,-1824,-516,-150,-82                                       
134,1156,-9860,11944,-1824,-515,-175,-99                                        
135,1312,-9944,11860,-1824,-505,-172,-103                                       
136,1192,-9948,11848,-1840,-440,-143,-58                                        
137,1132,-10004,11808,-1840,-446,-160,-95                                       
138,1152,-9800,11868,-1824,-496,-170,-86                                        
139,1044,-9956,11848,-1824,-543,-188,-97                                        
140,1108,-9980,11832,-1792,-485,-169,-82                                        
141,1220,-9956,11664,-1840,-469,-177,-109                                       
142,1052,-9860,11900,-1808,-450,-145,-61                                        
143,1188,-9952,11760,-1840,-532,-170,-110                                       
144,972,-9904,11896,-1824,-473,-152,-102                                        
145,1032,-9976,11848,-1824,-572,-116,-86                                        
146,1104,-9892,11904,-1824,-496,-231,-113                                       
147,1144,-9868,11880,-1872,-515,-174,-83                                        
148,1108,-9848,11912,-1872,-503,-196,-109                                       
149,1108,-9904,11756,-1840,-452,-151,-47                                        
150,1064,-9848,11820,-1792,-544,-189,-98                                        
151,1068,-9916,11824,-1856,-540,-156,-131                                       
152,1012,-9860,11960,-1856,-465,-185,-63                                        
153,1076,-9800,11816,-1840,-607,-193,-104                                       
154,1236,-10012,11696,-1840,-540,-220,-97                                       
155,1032,-9892,11776,-1808,-541,-219,-140                                       
156,1232,-9988,11856,-1808,-571,-197,-108                                       
157,1148,-9916,11820,-1840,-514,-213,-102                                       
158,1188,-9944,11824,-1808,-589,-224,-151                                       
159,1160,-9920,11844,-1824,-491,-175,-56                                        
160,1260,-9920,11800,-1808,-526,-208,-131                                       
161,1160,-9924,11728,-1840,-408,-165,-59                                        
162,1116,-9824,11712,-1808,-610,-192,-140                                       
163,1084,-10036,11796,-1824,-520,-161,-80                                       
164,1136,-9840,11924,-1840,-508,-205,-102                                       
165,1068,-10000,11892,-1840,-611,-213,-134                                      
166,1024,-9912,11760,-1824,-560,-211,-96                                        
167,1168,-10112,11776,-1824,-571,-175,-126                                      
168,1216,-9988,12172,-1840,-315,-193,-81                                        
169,1144,-10140,11828,-1856,-625,-319,-106                                      
170,1208,-10016,11772,-1840,-528,-235,-94                                       
171,1040,-9824,11780,-1840,-481,-212,-65                                        
172,1068,-10056,11972,-1824,-520,-184,-117                                      
173,1148,-9888,11768,-1808,-442,-202,-87                                        
174,1132,-9908,11828,-1808,-528,-149,-122                                       
175,1168,-9876,11792,-1824,-523,-217,-84                                        
176,1216,-9880,11788,-1792,-518,-157,-98                                        
177,1164,-9880,11944,-1824,-496,-161,-75                                        
178,1120,-9968,11956,-1824,-531,-162,-75                                        
179,1056,-9988,11712,-1824,-533,-155,-97                                        
180,1044,-9900,11864,-1808,-519,-189,-83                                        
181,1044,-9960,11944,-1840,-544,-149,-114                                       
182,1072,-9928,11788,-1840,-397,-198,-78                                        
183,1108,-9916,11700,-1808,-576,-158,-127                                       
184,1092,-9944,11808,-1824,-501,-170,-80                                        
185,1116,-9980,11748,-1824,-423,-143,-37                                        
186,1064,-9848,11840,-1824,-473,-181,-84                                        
187,1096,-9808,11864,-1840,-501,-174,-65                                        
188,1176,-9908,11808,-1840,-534,-213,-113                                       
189,1072,-9976,11776,-1808,-500,-180,-92                                        
190,1088,-9852,11900,-1824,-488,-218,-93                                        
191,1108,-9928,11848,-1840,-461,-166,-98                                        
192,1104,-9920,11908,-1824,-460,-169,-60                                        
193,1144,-10008,11816,-1824,-486,-145,-83                                       
194,1112,-9888,11800,-1808,-516,-160,-72                                        
195,1172,-9880,11692,-1808,-467,-165,-54                                        
196,1044,-9836,11868,-1840,-492,-183,-79                                        
197,1108,-9892,11984,-1840,-476,-179,-60                                        
198,1092,-9864,11876,-1840,-524,-167,-101                                       
199,1152,-9892,11720,-1824,-564,-197,-108                                       
200,1028,-9968,11888,-1840,-536,-182,-114                                       
201,1124,-9904,11836,-1840,-509,-189,-92                                        
202,1004,-9948,11900,-1808,-482,-160,-85                                        
203,1068,-9932,11812,-1824,-465,-148,-63                                        
204,1156,-9996,11852,-1824,-455,-169,-87                                        
205,1084,-9868,11896,-1824,-470,-166,-78                                        
206,952,-9952,11884,-1856,-599,-185,-109                                        
207,1056,-9896,11912,-1824,-497,-205,-97                                        
208,1116,-9876,11860,-1840,-522,-177,-76                                        
209,984,-9880,11880,-1840,-478,-178,-66                                         
210,1096,-9964,11840,-1808,-528,-159,-101                                       
211,1020,-9884,11840,-1808,-468,-202,-64                                        
212,1072,-9868,11924,-1808,-530,-180,-117                                       
213,1096,-9920,11888,-1824,-479,-179,-53                                        
214,1072,-9900,11828,-1824,-529,-162,-107                                       
215,1056,-9880,11924,-1808,-424,-191,-35                                        
216,1104,-9888,11928,-1808,-533,-212,-113                                       
217,1088,-9820,11968,-1856,-558,-212,-111                                       
218,1144,-9860,11808,-1840,-627,-210,-155                                       
219,1056,-9916,11832,-1808,-396,-156,-38                                        
220,1040,-9796,11840,-1808,-542,-201,-112                                       
221,1112,-9916,11924,-1824,-475,-202,-61                                        
222,1092,-9760,11940,-1824,-556,-170,-118                                       
223,1208,-10068,11816,-1808,-459,-188,-80                                       
224,1060,-9840,11832,-1824,-577,-259,-152                                       
225,1176,-9932,11780,-1824,-523,-221,-110                                       
226,1056,-9896,11912,-1840,-519,-208,-91                                        
227,1144,-9980,11928,-1840,-578,-179,-124                                       
228,1148,-9948,11856,-1808,-505,-205,-98                                        
229,1224,-9804,11880,-1824,-593,-243,-154                                       
